Municipio,2005,2007,2009,2011,2013,2015,2017,2019,2007_p,2009_p,2011_p,2013_p,2015_p,2017_p,2019_p,2021_p
NOVO ORIENTE,3.2,3.3,3.8,4.5,4.4,5.6,5.6,7.7,3.2,3.3,3.6,4.0,4.4,4.6,4.9,5.2
OCARA,2.9,3.0,3.9,4.0,4.4,5.0,4.7,5.1,2.9,3.1,3.3,3.7,4.1,4.4,4.6,4.9
ORÓS,3.0,3.0,3.4,3.9,3.6,4.3,4.5,4.6,3.0,3.2,3.5,3.9,4.2,4.5,4.8,5.0
PACAJUS,2.8,2.9,3.5,3.6,3.9,4.0,4.7,4.9,2.8,3.0,3.3,3.7,4.0,4.3,4.6,4.8
PACATUBA,3.3,3.3,3.7,3.9,4.0,4.6,4.8,5.1,3.3,3.4,3.7,4.1,4.5,4.8,5.0,5.3
PACOTI,,3.9,4.2,4.0,3.2,4.3,4.5,5.0,,4.0,4.2,4.5,4.9,5.1,5.4,5.6
PACUJÁ,,3.2,3.3,3.5,3.7,3.9,5.0,5.2,,3.3,3.5,3.8,4.2,4.4,4.7,4.9
PALHANO,3.0,3.5,4.1,4.0,4.4,5.1,5.5,6.0,3.0,3.2,3.5,3.9,4.2,4.5,4.8,5.0
PALMÁCIA,2.8,2.8,3.6,3.7,3.6,4.2,5.1,5.0,2.8,2.9,3.2,3.6,4.0,4.2,4.5,4.8
PARACURU,3.2,3.6,4.2,4.1,4.4,5.0,4.9,5.4,3.2,3.4,3.7,4.1,4.4,4.7,5.0,5.2
PARAIPABA,3.2,3.3,3.7,4.1,4.0,,4.9,4.8,3.2,3.4,3.7,4.1,4.5,4.7,5.0,5.2
PARAMBU,2.9,3.2,3.6,3.7,3.9,4.6,5.1,5.6,2.9,3.1,3.4,3.8,4.1,4.4,4.7,4.9
PARAMOTI,2.8,3.3,3.4,3.9,3.8,4.4,4.3,5.0,2.8,3.0,3.3,3.7,4.0,4.3,4.6,4.8
PEDRA BRANCA,3.2,3.5,4.0,4.9,4.3,4.4,5.0,6.1,3.2,3.4,3.6,4.0,4.4,4.7,4.9,5.2
PENAFORTE,2.6,3.9,5.0,4.1,5.3,4.5,4.4,4.8,2.6,2.7,3.0,3.4,3.8,4.0,4.3,4.6
PENTECOSTE,3.1,3.3,3.5,3.8,4.0,4.6,4.6,4.7,3.1,3.2,3.5,3.9,4.3,4.6,4.8,5.1
PEREIRO,2.8,3.5,3.6,4.3,4.4,4.5,4.8,5.2,2.8,2.9,3.2,3.6,4.0,4.2,4.5,4.8
PINDORETAMA,2.6,3.2,3.7,4.4,4.4,4.6,5.0,5.1,2.6,2.7,3.0,3.4,3.8,4.0,4.3,4.6
PIQUET CARNEIRO,2.9,2.8,3.1,3.6,4.4,4.8,5.3,5.8,2.9,3.0,3.3,3.7,4.1,4.3,4.6,4.9
PIRES FERREIRA,3.4,3.4,3.7,4.3,4.1,5.6,6.1,7.8,3.4,3.6,3.9,4.3,4.6,4.9,5.2,5.4
PORANGA,2.5,2.9,3.7,3.0,3.9,4.2,4.7,4.9,2.6,2.7,3.0,3.4,3.7,4.0,4.3,4.6
PORTEIRAS,3.1,3.1,3.3,4.0,4.5,5.2,4.6,4.9,3.1,3.2,3.5,3.9,4.3,4.5,4.8,5.1
POTENGI,2.6,3.0,2.9,3.4,3.9,3.4,5.4,5.0,2.7,2.8,3.1,3.5,3.8,4.1,4.4,4.6
POTIRETAMA,2.0,2.6,3.6,3.3,3.6,4.8,5.0,5.0,2.1,2.3,2.7,3.2,3.6,3.9,4.1,4.4
QUITERIANÓPOLIS,3.1,3.3,3.5,3.9,4.3,4.4,4.6,5.3,3.1,3.2,3.5,3.9,4.3,4.6,4.8,5.1
QUIXADÁ,3.2,3.5,3.6,3.7,3.9,4.4,4.6,4.7,3.3,3.4,3.7,4.1,4.5,4.7,5.0,5.2
QUIXELÔ,3.7,3.6,3.8,4.4,3.9,4.5,4.6,5.2,3.8,3.9,4.2,4.6,5.0,5.2,5.5,5.7
QUIXERAMOBIM,3.2,3.8,3.8,4.0,4.0,4.8,5.7,6.4,3.3,3.4,3.7,4.1,4.5,4.7,5.0,5.2
QUIXERÉ,2.7,2.8,3.8,4.2,4.1,4.6,4.9,5.4,2.7,2.8,3.1,3.5,3.9,4.1,4.4,4.7
REDENÇÃO,3.0,3.5,4.2,4.3,4.4,4.7,4.5,5.1,3.0,3.1,3.4,3.8,4.2,4.5,4.7,5.0
RERIUTABA,3.2,3.2,3.8,4.2,4.0,4.6,4.9,5.0,3.3,3.4,3.7,4.1,4.5,4.7,5.0,5.3
RUSSAS,3.1,3.5,3.9,4.3,4.9,5.6,5.9,6.0,3.1,3.2,3.5,3.9,4.3,4.6,4.8,5.1
SABOEIRO,2.3,2.7,3.2,3.8,4.5,4.9,5.0,5.7,2.3,2.4,2.7,3.0,3.4,3.7,3.9,4.2
SALITRE,2.4,2.5,3.1,3.1,3.7,4.1,4.8,6.0,2.4,2.5,2.8,3.2,3.5,3.8,4.1,4.3
SANTA QUITÉRIA,3.1,3.4,3.3,3.8,4.2,4.7,4.9,5.5,3.2,3.3,3.6,4.0,4.4,4.6,4.9,5.2
SANTANA DO ACARAÚ,3.0,3.0,3.1,3.2,3.4,4.1,4.5,5.3,3.0,3.2,3.5,3.9,4.2,4.5,4.8,5.0
SANTANA DO CARIRI,3.1,3.5,3.5,4.1,3.8,4.4,4.4,4.4,3.1,3.2,3.5,3.9,4.3,4.6,4.8,5.1
SÃO BENEDITO,3.0,3.5,4.0,4.2,4.3,4.4,4.5,4.8,3.0,3.1,3.4,3.8,4.2,4.4,4.7,5.0
SÃO GONÇALO DO AMARANTE,3.7,4.1,4.3,4.4,4.3,5.3,5.6,5.7,3.7,3.9,4.2,4.6,4.9,5.2,5.4,5.7
SÃO JOÃO DO JAGUARIBE,2.4,3.3,3.1,4.4,3.3,5.1,4.9,5.5,2.5,2.7,3.1,3.6,4.0,4.3,4.5,4.8
SÃO LUÍS DO CURU,2.6,3.0,3.5,3.2,3.5,4.0,4.0,4.4,2.7,2.8,3.1,3.4,3.8,4.1,4.4,4.6
SENADOR POMPEU,3.3,3.3,3.8,3.8,3.6,4.0,4.1,5.0,3.4,3.5,3.8,4.2,4.6,4.8,5.1,5.4
SENADOR SÁ,3.7,3.9,4.0,4.0,4.4,4.4,5.0,5.1,3.7,3.8,4.1,4.5,4.9,5.1,5.4,5.6
SOBRAL,3.3,3.5,4.0,4.4,5.1,6.3,7.2,6.9,3.3,3.4,3.7,4.1,4.5,4.8,5.0,5.3
SOLONÓPOLE,2.9,3.5,3.5,4.1,3.8,4.7,4.8,5.0,2.9,3.1,3.4,3.8,4.1,4.4,4.7,4.9
TABULEIRO DO NORTE,3.3,3.6,3.7,4.3,4.4,5.1,5.3,5.3,3.3,3.4,3.7,4.1,4.5,4.8,5.0,5.3
TAMBORIL,1.7,2.5,2.9,3.3,4.2,3.9,4.5,4.9,1.8,2.0,2.4,2.9,3.3,3.5,3.8,4.1
TARRAFAS,3.1,2.6,2.9,3.9,4.6,4.6,5.0,5.1,3.1,3.2,3.5,3.9,4.3,4.6,4.8,5.1
TAUÁ,3.2,3.2,3.6,4.1,4.6,5.0,5.1,5.2,3.2,3.4,3.6,4.0,4.4,4.7,4.9,5.2
TEJUÇUOCA,2.8,2.7,3.8,3.8,4.3,4.2,5.0,4.5,2.9,3.0,3.3,3.7,4.0,4.3,4.6,4.9
TIANGUÁ,3.2,3.2,3.9,4.0,4.3,5.0,5.1,5.2,3.2,3.3,3.6,4.0,4.4,4.7,4.9,5.2
TRAIRI,3.2,3.3,3.7,3.9,4.3,4.3,5.1,5.1,3.2,3.4,3.6,4.0,4.4,4.7,4.9,5.2
TURURU,3.1,3.1,3.4,3.5,4.3,5.3,4.8,4.8,3.1,3.3,3.5,3.9,4.3,4.6,4.9,5.1
UBAJARA,3.6,3.3,4.1,4.7,4.9,5.2,5.3,5.5,3.6,3.8,4.1,4.5,4.8,5.1,5.3,5.6
UMARI,2.1,2.7,3.1,3.2,3.5,4.6,4.7,4.9,2.2,2.3,2.6,3.0,3.4,3.7,3.9,4.2
UMIRIM,2.9,3.2,3.4,3.4,3.8,4.2,4.4,4.4,2.9,3.1,3.3,3.7,4.1,4.4,4.6,4.9
URUBURETAMA,3.1,3.3,3.5,3.7,4.2,4.5,4.7,5.0,3.1,3.3,3.5,4.0,4.3,4.6,4.9,5.1
URUOCA,3.2,3.7,3.5,4.0,3.7,4.4,4.8,5.2,3.3,3.4,3.7,4.1,4.5,4.7,5.0,5.3
VARJOTA,2.7,3.2,3.5,3.4,3.7,4.4,4.9,5.2,2.7,2.9,3.1,3.5,3.9,4.2,4.4,4.7
VÁRZEA ALEGRE,3.0,3.1,3.6,3.7,4.1,4.1,4.4,5.0,3.0,3.2,3.5,3.9,4.2,4.5,4.8,5.0
VIÇOSA DO CEARÁ,2.8,3.4,3.9,4.3,4.5,4.6,5.0,5.4,2.9,3.0,3.3,3.7,4.0,4.3,4.6,4.9
