Municipio,2005,2007,2009,2011,2013,2015,2017,2019,2007_p,2009_p,2011_p,2013_p,2015_p,2017_p,2019_p,2021_p
PEDRA BRANCA,3.3,3.2,5.1,6.6,5.6,6.2,7.3,8.1,3.3,3.7,4.1,4.4,4.7,5.0,5.2,5.5
PENAFORTE,2.5,4.1,4.0,5.0,5.5,6.3,6.7,6.4,2.6,2.9,3.3,3.6,3.9,4.2,4.5,4.8
PENTECOSTE,3.0,3.5,3.8,4.5,5.2,5.8,6.6,6.8,3.1,3.4,3.8,4.1,4.4,4.7,5.0,5.3
PEREIRO,2.9,3.4,4.1,4.4,5.5,5.6,6.2,6.3,2.9,3.3,3.7,3.9,4.2,4.5,4.8,5.1
PINDORETAMA,,3.0,4.0,5.0,4.9,5.8,6.2,6.3,,3.2,3.5,3.8,4.1,4.3,4.6,4.9
PIQUET CARNEIRO,3.0,2.9,3.7,4.7,5.8,7.1,6.9,6.6,3.1,3.4,3.8,4.1,4.4,4.7,5.0,5.3
PIRES FERREIRA,,3.7,4.0,5.1,7.1,8.7,7.5,8.5,,3.9,4.3,4.6,4.8,5.1,5.4,5.7
PORANGA,2.5,2.9,3.3,4.0,5.1,6.1,5.8,5.9,2.5,2.8,3.2,3.5,3.8,4.1,4.4,4.7
PORTEIRAS,3.3,3.3,3.8,4.5,6.2,6.3,6.5,6.0,3.3,3.7,4.1,4.4,4.6,4.9,5.2,5.5
POTENGI,2.6,2.8,4.1,4.2,4.9,5.0,5.3,5.1,2.7,3.0,3.4,3.7,4.0,4.3,4.6,4.9
POTIRETAMA,3.1,3.0,3.6,4.4,5.2,5.7,5.9,6.8,3.1,3.5,3.9,4.2,4.5,4.8,5.1,5.4
QUITERIANÓPOLIS,3.7,3.6,3.9,4.5,5.0,6.4,6.4,6.5,3.8,4.1,4.5,4.8,5.1,5.4,5.7,5.9
QUIXADÁ,3.4,3.9,4.2,4.4,4.5,5.3,5.1,5.5,3.4,3.8,4.2,4.5,4.8,5.1,5.3,5.6
QUIXELÔ,3.2,3.8,3.8,5.0,4.9,5.1,5.8,6.1,3.3,3.6,4.0,4.3,4.6,4.9,5.2,5.5
QUIXERAMOBIM,3.0,3.5,4.5,5.2,5.3,6.3,7.4,8.0,3.1,3.4,3.8,4.1,4.4,4.7,5.0,5.3
QUIXERÉ,2.6,3.2,3.9,4.5,5.2,5.9,5.9,6.5,2.7,3.0,3.4,3.7,4.0,4.3,4.6,4.9
REDENÇÃO,3.2,3.3,4.3,4.7,4.6,5.7,5.8,5.9,3.3,3.6,4.0,4.3,4.6,4.9,5.2,5.5
RERIUTABA,,3.5,4.1,5.4,5.7,7.5,7.5,6.8,,3.7,4.0,4.3,4.6,4.8,5.1,5.4
RUSSAS,3.3,3.4,4.3,4.9,5.4,6.2,6.7,6.9,3.4,3.7,4.2,4.4,4.7,5.0,5.3,5.6
SABOEIRO,2.8,3.0,3.4,5.0,4.9,6.0,5.6,5.8,2.9,3.2,3.6,3.9,4.2,4.5,4.8,5.1
SALITRE,1.8,2.7,3.3,4.1,4.8,5.3,6.7,7.7,1.9,2.2,2.5,2.8,3.1,3.4,3.7,4.0
SANTA QUITÉRIA,3.3,3.7,4.3,4.4,4.8,5.7,5.7,6.3,3.4,3.7,4.1,4.4,4.7,5.0,5.3,5.6
SANTANA DO ACARAÚ,2.5,2.9,3.4,4.0,4.2,5.2,5.7,6.3,2.5,2.8,3.2,3.5,3.8,4.1,4.4,4.7
SANTANA DO CARIRI,3.2,3.6,4.3,4.1,4.6,5.6,5.4,5.2,3.3,3.6,4.0,4.3,4.6,4.9,5.2,5.5
SÃO BENEDITO,3.0,3.7,4.1,4.5,4.2,5.2,5.1,5.4,3.1,3.4,3.8,4.1,4.4,4.7,5.0,5.3
SÃO GONÇALO DO AMARANTE,3.8,4.5,4.7,5.1,4.9,6.1,6.5,6.7,3.9,4.2,4.6,4.9,5.2,5.5,5.7,6.0
SÃO JOÃO DO JAGUARIBE,2.4,3.3,4.9,5.9,5.5,6.0,6.5,5.7,2.4,2.7,3.1,3.4,3.7,4.0,4.3,4.6
SÃO LUÍS DO CURU,2.7,2.8,4.0,3.7,4.1,4.8,4.8,4.9,2.8,3.1,3.5,3.8,4.1,4.4,4.7,5.0
SENADOR POMPEU,3.0,2.8,5.0,4.5,4.4,5.3,5.6,6.4,3.1,3.4,3.9,4.1,4.4,4.7,5.0,5.3
SENADOR SÁ,3.1,3.7,,5.5,5.7,6.5,6.9,7.1,3.2,3.5,4.0,4.2,4.5,4.8,5.1,5.4
SOBRAL,4.0,4.9,6.6,7.3,7.8,8.8,9.1,8.4,4.0,4.4,4.8,5.0,5.3,5.6,5.9,6.1
SOLONÓPOLE,3.5,3.4,3.8,5.1,5.0,6.2,6.3,6.1,3.6,3.9,4.3,4.6,4.9,5.2,5.5,5.8
TABULEIRO DO NORTE,3.4,3.3,3.9,4.4,5.0,5.5,6.1,6.4,3.4,3.8,4.2,4.5,4.8,5.1,5.4,5.6
TAMBORIL,2.2,3.1,3.6,4.6,5.2,5.9,6.0,6.9,2.2,2.5,2.9,3.2,3.5,3.8,4.1,4.4
TARRAFAS,,3.3,4.7,4.7,5.1,5.6,5.9,6.3,,3.5,3.8,4.1,4.4,4.7,5.0,5.3
TAUÁ,3.5,3.9,4.2,5.2,6.1,6.5,6.4,6.1,3.5,3.9,4.3,4.6,4.9,5.2,5.5,5.7
TEJUÇUOCA,,3.7,3.7,3.9,4.1,5.3,5.2,5.5,,3.9,4.3,4.6,4.8,5.1,5.4,5.7
TIANGUÁ,3.1,3.7,4.5,5.2,5.0,6.0,6.1,6.4,3.2,3.5,3.9,4.2,4.5,4.8,5.1,5.4
TRAIRI,3.1,3.0,3.8,4.7,5.0,5.5,5.7,6.2,3.1,3.5,3.9,4.2,4.5,4.8,5.1,5.4
TURURU,3.3,3.2,4.0,4.9,5.2,6.4,6.2,6.0,3.4,3.7,4.1,4.4,4.7,5.0,5.3,5.6
UBAJARA,3.6,3.3,4.5,5.3,5.6,6.3,6.6,6.8,3.7,4.0,4.4,4.7,5.0,5.3,5.6,5.9
UMARI,2.3,2.6,3.4,4.6,3.8,4.6,4.3,6.3,2.4,2.8,3.2,3.5,3.8,4.1,4.4,4.7
UMIRIM,3.1,3.2,3.6,4.3,5.1,5.3,5.8,5.3,3.1,3.5,3.9,4.2,4.4,4.7,5.0,5.3
URUBURETAMA,3.3,3.6,4.1,4.3,5.1,5.6,5.6,5.8,3.4,3.7,4.1,4.4,4.7,5.0,5.3,5.6
URUOCA,3.1,3.8,4.4,5.0,4.7,7.2,7.2,8.3,3.2,3.5,3.9,4.2,4.5,4.8,5.1,5.4
VARJOTA,3.1,3.5,4.1,4.7,5.7,7.2,7.1,6.8,3.2,3.5,3.9,4.2,4.5,4.8,5.1,5.4
VÁRZEA ALEGRE,3.2,3.9,4.4,4.5,4.3,5.2,5.6,6.1,3.3,3.6,4.0,4.3,4.6,4.9,5.2,5.5
VIÇOSA DO CEARÁ,3.1,3.2,4.1,4.7,5.4,5.9,6.2,6.1,3.1,3.5,3.9,4.2,4.5,4.8,5.1,5.4
